site_id,locality,postalCode,state,operatorId,operatorName,lon,lat,total_num_pois,num_fast_food,num_fuel_stations,num_supermarkets,closest_category,has_toilet,has_wifi,has_seating,open_24hr,tags.brand
-4ZBQG-7Q6NqIB0E-IKSTEPG9lYhs0HdwxuBQCJ5rGM,Hamburg,22041,Hamburg,DEHHM,Hamburger Energiewerke,10.07688,53.57944,0,0.0,0.0,0.0,,,,,,
-7GAlj5KMjg81KmaOcdIlmUrDZLpYp_kp_pXqeePYdc,Hamburg,20095,Hamburg,DEHHM,Hamburger Energiewerke,9.993134,53.548933,2,2.0,0.0,0.0,fast_food,False,False,True,False,Asiahung
-7GAlj5KMjg81KmaOcdIlmUrDZLpYp_kp_pXqeePYdc,Hamburg,20095,Hamburg,DEHHM,Hamburger Energiewerke,9.993134,53.548933,2,2.0,0.0,0.0,fast_food,False,False,True,False,
-AolBOqEu0y-HEbZ74WdzDFCQc4N6zoS9z1bDtUBSPo,Hamburg,22767,Hamburg,DEHHM,Hamburger Energiewerke,9.99916,53.5496,0,0.0,0.0,0.0,,,,,,
-DTxSOKBxOlXgxzPImpaJZfBUD-YeW9Il9rIYuMiYKw,Hamburg,22337,Hamburg,DEHHM,Hamburger Energiewerke,10.052869,53.633256,0,0.0,0.0,0.0,,,,,,
-EvegtEp4082TQGRRTNiIOGmWiDlvGvmHoumxSa6RPI,Hamburg,22159,Hamburg,DEHHM,Hamburger Energiewerke,10.116497,53.596514,0,0.0,0.0,0.0,,,,,,
-JWIpOTmN38fAVKYcFRKvxoJQlFNU9fwb8RVIvnqV0w,Hamburg,21077,Hamburg,DEEZE,eze.network GmbH,9.99052,53.44517,1,0.0,1.0,0.0,fuel,False,False,False,False,Shell
-NV78CvztFZVJDtzcz_tNy4yKP4yG2sXNQnG45xd3Fg,Hamburg,20537,Hamburg,DEDES,Total Energies,10.035876,53.547365,1,1.0,0.0,0.0,fast_food,False,False,True,False,
-SF2-ruqoFK2Z1TLCh3hAf9K6zMMUgCH2GEvVo79_DU,Hamburg,22395,Hamburg,DEWLN,Wirelane,10.09713,53.66222,0,0.0,0.0,0.0,,,,,,
-Sxy49HgfCWCPVNsIDj_GwDslTwFRcbOdKYCS_Waqcg,Hamburg,21077,Hamburg,DEEBW,EnBW,9.935783,53.430464,0,0.0,0.0,0.0,,,,,,
-Uv9kCsE8bTzZiN32-U0b0sdm9IPFvaGcNnw8MMa16A,Hamburg,20537,Hamburg,DELMS,LastMileSolutions,10.044744,53.551064,0,0.0,0.0,0.0,,,,,,
-VC7sxGweFAwKhekWvgTZrA3F4nickJelfKF1dmW70E,Hamburg,22305,Hamburg,DEHHM,Hamburger Energiewerke,10.045834,53.585399,0,0.0,0.0,0.0,,,,,,
-XmcF52kBZVjD_IfGnLrBmWnzt1VssBye4Lqaq9mrqM,Hamburg,22457,Hamburg,DEHHM,Hamburger Energiewerke,9.899808,53.632377,0,0.0,0.0,0.0,,,,,,
-Zy2L2_8w4X2fxpIkq6PqXcfhCE74ZOh8_75v1VDWD0,Hamburg,22359,Hamburg,DEHHM,Hamburger Energiewerke,10.162372,53.648946,0,0.0,0.0,0.0,,,,,,
-c4F47iTSofyjUPoyChViTDYcXMbs--KtFusUyrSm-I,Hamburg,22335,Hamburg,DETNM,Shell Recharge,10.00969,53.62142,1,0.0,1.0,0.0,fuel,False,False,False,True,Shell
-dGbUHIqoCknuCtOFdorkxoX3JCmxScaOMCA1DwqcSk,Hamburg,22047,Hamburg,DEHHM,Hamburger Energiewerke,10.083262,53.58009,0,0.0,0.0,0.0,,,,,,
-eQ4DQCEBZ3R1Jz9PHwIYXAuCuavTL9aSW-yXdVn7bo,Hamburg,21031,Hamburg,DEHHM,Hamburger Energiewerke,10.205528,53.495595,3,3.0,0.0,0.0,fast_food,False,False,False,False,Domino's
-eQ4DQCEBZ3R1Jz9PHwIYXAuCuavTL9aSW-yXdVn7bo,Hamburg,21031,Hamburg,DEHHM,Hamburger Energiewerke,10.205528,53.495595,3,3.0,0.0,0.0,fast_food,False,False,False,False,
-eQ4DQCEBZ3R1Jz9PHwIYXAuCuavTL9aSW-yXdVn7bo,Hamburg,21031,Hamburg,DEHHM,Hamburger Energiewerke,10.205528,53.495595,3,3.0,0.0,0.0,fast_food,False,False,False,False,
-g495vCQfnV9sEamUGpG0FYJO99RX7OYR4uJZhnKUig,Hamburg,21035,Hamburg,DEHHM,Hamburger Energiewerke,10.20285,53.482996,0,0.0,0.0,0.0,,,,,,
-impo-e0dsY-SljqlEhrndngl4ouvuDfjl9TktoYHUQ,Hamburg,22143,Hamburg,DELA1,LAN1 Hotspots GmbH,10.189383,53.608323,1,1.0,0.0,0.0,fast_food,False,True,True,False,McDonald's
-lJZN302aUrT_jjBMrouoYQCeE4i5dMUH_CGK7CaA8A,Hamburg,22399,Hamburg,DEHHM,Hamburger Energiewerke,10.079211,53.661838,0,0.0,0.0,0.0,,,,,,
-lQHkq3LABXiGbsglTzOuPFcYJn5S-Ap3Tf60Fo150s,Hamburg,22159,Hamburg,DEHHM,Hamburger Energiewerke,10.140354,53.628011,0,0.0,0.0,0.0,,,,,,
-rKz7VIrwdINdr9GNBhanHC2F6h1G1Cqe_nxh_A84HY,Hamburg,20255,Hamburg,DEHHM,Hamburger Energiewerke,9.946057,53.576695,0,0.0,0.0,0.0,,,,,,
-uAqxF3O7iA8YHvt-WZOF7jmeTTDWVy0v2MW2b8hl8o,Hamburg,22359,Hamburg,DEHHM,Hamburger Energiewerke,10.162687,53.649316,1,1.0,0.0,0.0,fast_food,False,False,False,False,
-uayxgnsGosR2Uh4JB__ofQGQoIN2aSYueC6732L2MY,Hamburg,22087,Hamburg,DEWLN,Wirelane,10.023166,53.562888,0,0.0,0.0,0.0,,,,,,
-vguYcZumF6bUhOZxC20xzKlE5C5KjhVE7aUg4iREiI,Hamburg,20357,Hamburg,DEVAT,Vattenfall,9.973904,53.556953,0,0.0,0.0,0.0,,,,,,
-wY8BvuPM-6Mqt3iO_ukCeUsZMdqfy6REY0OTEDKbX0,Hamburg,22043,Hamburg,DEHHM,Hamburger Energiewerke,10.12586,53.58416,0,0.0,0.0,0.0,,,,,,
-zI0SwspsDxaxB1RT1qwWYPz34JS7MGhg-YFwschEz4,Hamburg,22529,Hamburg,ATHTB,Chargepoint,9.957627,53.582599,0,0.0,0.0,0.0,,,,,,
0-VaAdgbcEyIH1iJejcuE358oMYZBticrUXw99v7j5E,Hamburg,22459,Hamburg,DEHHM,Hamburger Energiewerke,9.945335,53.629153,0,0.0,0.0,0.0,,,,,,
019CkHGYtvGITT-S7mRXGTV4ixJDyc1dkTtpX00VCCc,Hamburg,22457,Hamburg,ATHTB,Chargepoint,9.938724,53.656671,0,0.0,0.0,0.0,,,,,,
036XLQKDc91OKpvJbzlSrJf1_BwdjUOL7Z3H_USX6nw,Hamburg,22087,Hamburg,DEHHM,Hamburger Energiewerke,10.03538,53.56311,1,1.0,0.0,0.0,fast_food,False,False,False,False,
04NqEYiPARvg5p2fXTPirPJYDhnBrIqwID6bG1gf7n8,Hamburg,20149,Hamburg,DEHHM,Hamburger Energiewerke,9.986647,53.581366,0,0.0,0.0,0.0,,,,,,
0EbIAzJGo37fi-LxzR94-fuzDCwdmlvNduOqDcoo8OY,Hamburg,20097,Hamburg,DEHHM,Hamburger Energiewerke,10.0137,53.54834,2,2.0,0.0,0.0,fast_food,False,False,True,False,
0EbIAzJGo37fi-LxzR94-fuzDCwdmlvNduOqDcoo8OY,Hamburg,20097,Hamburg,DEHHM,Hamburger Energiewerke,10.0137,53.54834,2,2.0,0.0,0.0,fast_food,False,False,True,False,
0FtdJuyLNT3KEkQyYwhUxgIWsAsUjsLFqerDPKYmWWA,Hamburg,22455,Hamburg,DEUBI,ubitricity,9.943142,53.63905,0,0.0,0.0,0.0,,,,,,
0HYbIzZRcbsb_JiLZNFGHc2MDj1dAWTXBTXKGNbQglw,Hamburg,22335,Hamburg,DEHHM,Hamburger Energiewerke,10.015019,53.631588,0,0.0,0.0,0.0,,,,,,
0J07K1euhFmUSxT_PDIfGxFUqzFPq1fGAIk8b6n-iOk,Hamburg,20253,Hamburg,DEEZE,eze.network GmbH,9.96775,53.58017,2,2.0,0.0,0.0,fast_food,True,False,True,False,
0J07K1euhFmUSxT_PDIfGxFUqzFPq1fGAIk8b6n-iOk,Hamburg,20253,Hamburg,DEEZE,eze.network GmbH,9.96775,53.58017,2,2.0,0.0,0.0,fast_food,False,False,True,False,
