id,locality,postalCode,state,streetAddress,geoCoordinates,operatorId,operatorName
-4ZBQG-7Q6NqIB0E-IKSTEPG9lYhs0HdwxuBQCJ5rGM,Hamburg,22041,Hamburg,Walddörferstraße 110,"[10.07688,53.57944]",DEHHM,Hamburger Energiewerke
-7GAlj5KMjg81KmaOcdIlmUrDZLpYp_kp_pXqeePYdc,Hamburg,20095,Hamburg,Große Bäckerstraße 8,"[9.993134,53.548933]",DEHHM,Hamburger Energiewerke
-AolBOqEu0y-HEbZ74WdzDFCQc4N6zoS9z1bDtUBSPo,Hamburg,22767,Hamburg,Kattrepel 20,"[9.99916,53.5496]",DEHHM,Hamburger Energiewerke
-DTxSOKBxOlXgxzPImpaJZfBUD-YeW9Il9rIYuMiYKw,Hamburg,22337,Hamburg,Kornweg 30,"[10.052869,53.633256]",DEHHM,Hamburger Energiewerke
-EvegtEp4082TQGRRTNiIOGmWiDlvGvmHoumxSa6RPI,Hamburg,22159,Hamburg,Berner Heerweg 64,"[10.116497,53.596514]",DEHHM,Hamburger Energiewerke
-JWIpOTmN38fAVKYcFRKvxoJQlFNU9fwb8RVIvnqV0w,Hamburg,21077,Hamburg,Winsener Straße 84A,"[9.99052,53.44517]",DEEZE,eze.network GmbH
-NV78CvztFZVJDtzcz_tNy4yKP4yG2sXNQnG45xd3Fg,Hamburg,20537,Hamburg,Süderstraße 133-141,"[10.035876,53.547365]",DEDES,Total Energies
-SF2-ruqoFK2Z1TLCh3hAf9K6zMMUgCH2GEvVo79_DU,Hamburg,22395,Hamburg,Saselbergring 25,"[10.09713,53.66222]",DEWLN,Wirelane
-Sxy49HgfCWCPVNsIDj_GwDslTwFRcbOdKYCS_Waqcg,Hamburg,21077,Hamburg,Maldfeldstraße 2,"[9.935783,53.430464]",DEEBW,EnBW
-Uv9kCsE8bTzZiN32-U0b0sdm9IPFvaGcNnw8MMa16A,Hamburg,20537,Hamburg,Wendenstrasse 349,"[10.044744,53.551064]",DELMS,LastMileSolutions
-VC7sxGweFAwKhekWvgTZrA3F4nickJelfKF1dmW70E,Hamburg,22305,Hamburg,Maurienstraße 13,"[10.045834,53.585399]",DEHHM,Hamburger Energiewerke
-XmcF52kBZVjD_IfGnLrBmWnzt1VssBye4Lqaq9mrqM,Hamburg,22457,Hamburg,Albertine-Assor-Straße 4,"[9.899808,53.632377]",DEHHM,Hamburger Energiewerke
-Zy2L2_8w4X2fxpIkq6PqXcfhCE74ZOh8_75v1VDWD0,Hamburg,22359,Hamburg,Uppenhof 1,"[10.162372,53.648946]",DEHHM,Hamburger Energiewerke
-c4F47iTSofyjUPoyChViTDYcXMbs--KtFusUyrSm-I,Hamburg,22335,Hamburg,431 Alsterkrugchaussee,"[10.00969,53.62142]",DETNM,Shell Recharge
